,Model,Year,Task,Score,predicted
52,BiLSTM+ELMo,2018,QNLI,75.5,LSTM
58,RoBERTa,2019,RTE,88.2,Transformer
0,ERNIE,2019,CoLA,75.5,Transformer
44,BiLSTM+ELMo,2018,MNLI,67.2,LSTM
5,BiLSTM+CoVe,2017,CoLA,18.5,LSTM
36,BiLSTM+ELMo,2018,QQP,61.1,LSTM
16,ERNIE,2019,MRPC,93.9,Transformer
12,BiLSTM+ELMo,2018,SST-2,89.3,LSTM
25,T5,2019,STS-B,93.1,Transformer
61,BiLSTM+CoVe,2017,RTE,52.7,LSTM
56,ERNIE,2019,RTE,92.6,Transformer
9,T5,2019,SST-2,97.5,Transformer
40,ERNIE,2019,MNLI,92.3,Transformer
