,total_bill,tip,smoker,day,time,size,predicted
24,19.82,3.18,No,Sat,Dinner,2,Male
6,8.77,2.0,No,Sun,Dinner,2,Male
153,24.55,2.0,No,Sun,Dinner,4,Male
211,25.89,5.16,Yes,Sat,Dinner,4,Male
198,13.0,2.0,Yes,Thur,Lunch,2,Female
176,17.89,2.0,Yes,Sun,Dinner,2,Male
192,28.44,2.56,Yes,Thur,Lunch,2,Male
124,12.48,2.52,No,Thur,Lunch,2,Male
9,14.78,3.23,No,Sun,Dinner,2,Male
101,15.38,3.0,Yes,Fri,Dinner,2,Female
45,18.29,3.0,No,Sun,Dinner,2,Male
233,10.77,1.47,No,Sat,Dinner,2,Male
117,10.65,1.5,No,Thur,Lunch,2,Female
177,14.48,2.0,Yes,Sun,Dinner,2,Male
82,10.07,1.83,No,Thur,Lunch,1,Female
146,18.64,1.36,No,Thur,Lunch,3,Male
200,18.71,4.0,Yes,Thur,Lunch,3,Male
15,21.58,3.92,No,Sun,Dinner,2,Male
66,16.45,2.47,No,Sat,Dinner,2,Male
142,41.19,5.0,No,Thur,Lunch,5,Female
33,20.69,2.45,No,Sat,Dinner,4,Male
19,20.65,3.35,No,Sat,Dinner,3,Male
109,14.31,4.0,Yes,Sat,Dinner,2,Male
30,9.55,1.45,No,Sat,Dinner,2,Male
186,20.9,3.5,Yes,Sun,Dinner,3,Male
120,11.69,2.31,No,Thur,Lunch,2,Female
10,10.27,1.71,No,Sun,Dinner,2,Male
73,25.28,5.0,Yes,Sat,Dinner,2,Male
159,16.49,2.0,No,Sun,Dinner,4,Male
156,48.17,5.0,No,Sun,Dinner,6,Male
112,38.07,4.0,No,Sun,Dinner,3,Male
218,7.74,1.44,Yes,Sat,Dinner,2,Male
25,17.81,2.34,No,Sat,Dinner,4,Male
60,20.29,3.21,Yes,Sat,Dinner,2,Male
18,16.97,3.5,No,Sun,Dinner,3,Male
119,24.08,2.92,No,Thur,Lunch,4,Male
97,12.03,1.5,Yes,Fri,Dinner,2,Male
197,43.11,5.0,Yes,Thur,Lunch,4,Male
139,13.16,2.75,No,Thur,Lunch,2,Male
241,22.67,2.0,Yes,Sat,Dinner,2,Male
75,10.51,1.25,No,Sat,Dinner,2,Male
127,14.52,2.0,No,Thur,Lunch,2,Male
113,23.95,2.55,No,Sun,Dinner,2,Male
16,10.33,1.67,No,Sun,Dinner,3,Male
196,10.34,2.0,Yes,Thur,Lunch,2,Female
67,3.07,1.0,Yes,Sat,Dinner,1,Female
168,10.59,1.61,Yes,Sat,Dinner,2,Male
38,18.69,2.31,No,Sat,Dinner,3,Male
195,7.56,1.44,No,Thur,Lunch,2,Female
