find_number,material_category,material,start_date,end_date,level_1_of_the_functional_classification,level_2_of_the_functional_classification,ceramics_rim_eve_estimated_vessel_equivalent,ceramics_base_eve_estimated_vessel_equivalent,ceramics_reconstructed_object_diameter_in_mm,ceramics_reconstructed_object_height_in_mm,ceramics_surface_treatment,ceramics_decoration_technique,ceramics_image_type,ceramics_mark
NZD1.00078CER219,CER,"redware, slip: sgraffito",1500,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",80,65,270,60,lead-glaze and inside slip,sgraffito,Coat of arms/heraldry,NULL
NZD1.00078CER223,CER,"redware, slip",1400,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,5,260,38,inside lead-glaze,"slipware, arcades",NULL,NULL
NZD1.00079CER095,CER,industrial ware: pearlware,1775,1800,Food Processing & Consumption,Consumption: drinking,20,35,100,25,lead-glaze,blue-white,floral motif,NULL
NZD1.00079CER297,CER,industrial ware: red,1700,1750,Food Processing & Consumption,Consumption: drinking,15,60,120,150,lead-glaze with manganese oxide spots,NULL,NULL,NULL
NZD1.00081CER004,CER,maiolica,1500,1550,Food Processing & Consumption,Consumption: drinking,15,40,110,40,tin-glaze,blue-white,NULL,NULL
NZD1.00081CER023,CER,stoneware: Westerwald,1650,1700,Food Processing & Consumption,Consumption: drinking,35,40,90,168,"salt-glaze, cobalt blue",appliques,floral motif,NULL
NZD1.00081CER033,CER,"redware, slip: Lower Rhine region",1700,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,15,240,25,inside lead-glaze,slipware,NULL,NULL
NZD1.00081CER058,CER,faience: Holland,1650,1700,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,15,280,25,tin-glaze,overall white,NULL,NULL
NZD1.00087CER045,CER,greyware: hand-built,1200,1350,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,15,20,180,35,NULL,NULL,NULL,NULL
NZD1.00087CER126,CER,faience: Holland,1625,1675,Food Processing & Consumption,"Food consumption: plate, dish, bowl",25,35,210,15,tin-glaze,blue-white,NULL,NULL
NZD1.00087CER327,CER,whiteware: Hafner,1525,1575,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,5,110,25,lead-glaze with copper oxide inside,NULL,NULL,NULL
NZD1.00087CER333,CER,"redware, slip: sgraffito",1500,1550,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,25,65,160,180,lead-glaze with slip,sgraffito,NULL,NULL
NZD1.00087CER366,CER,"redware, slip: Lower Rhine region",1700,1775,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,10,200,30,inside lead-glaze,NULL,NULL,NULL
NZD1.00087CER388,CER,whiteware,1575,1625,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,60,30,200,60,lead-glaze with copper oxide inside,NULL,NULL,NULL
NZD1.00088CER016,CER,redware,1500,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",65,40,320,60,lead-glaze and inside slip,NULL,NULL,NULL
NZD1.00088CER020,CER,whiteware,1525,1575,Food Processing & Consumption,"Food consumption: plate, dish, bowl",35,100,137,75,lead-glaze with copper oxide inside,NULL,NULL,NULL
NZD1.00088CER028,CER,stoneware: Aachen,1450,1500,Food Processing & Consumption,Consumption: drinking,100,25,160,225,iron oxide slip and salt-glaze,roulette,NULL,NULL
NZD1.00088CER042,CER,redware: French,1600,1650,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,15,200,22,lead-glaze and inside slip,slipware; slip and slip-cup decoration,NULL,NULL
NZD1.00088CER085,CER,faience: Holland,1625,1675,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,20,240,30,tin-glaze,blue-white,chinese decor,NULL
NZD1.00088CER091,CER,faience: Holland,1650,1700,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,65,140,35,tin-glaze,blue-white,still lifes/objects,NULL
NZD1.00088CER101,CER,faience: Holland,1650,1725,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,20,220,25,tin-glaze,overall white,NULL,NULL
NZD1.00088CER213,CER,"redware, slip: sgraffito",1500,1575,Food Processing & Consumption,"Food consumption: plate, dish, bowl",40,50,260,50,lead-glaze and inside slip,sgraffito,NULL,NULL
NZD1.00088CER214,CER,redware,1500,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",75,100,320,82,lead-glaze and inside slip,NULL,NULL,NULL
NZD1.00088CER223,CER,"redware, slip",1400,1500,Food Processing & Consumption,"Food consumption: plate, dish, bowl",65,40,240,35,inside lead-glaze,"slipware, arcades",NULL,NULL
NZD1.00088CER231,CER,redware,1525,1575,Food Processing & Consumption,"Food consumption: plate, dish, bowl",40,100,165,77,lead-glaze and inside slip,NULL,NULL,NULL
NZD1.00090CER007,CER,redware: slip applied by brush,1400,1500,Food Processing & Consumption,"Food consumption: plate, dish, bowl",65,40,240,40,inside lead-glaze,"slipware, applied with a brush",ornamental,NULL
NZD1.00090CER027,CER,stoneware: Siegburg,1450,1525,Food Processing & Consumption,Consumption: drinking,20,50,115,48,NULL,NULL,NULL,NULL
NZD1.00090CER030,CER,stoneware: Cologne,1525,1575,Food Processing & Consumption,Consumption: drinking,50,65,200,198,iron oxide slip and salt-glaze,appliques,mixture,NULL
NZD1.00090CER053,CER,maiolica,1675,1725,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,5,320,45,tin-glaze inside and lead-glaze outside,blue-white,NULL,NULL
NZD1.00090CER092,CER,industrial ware: white,1850,1880,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,45,140,25,lead-glaze,"transfer printing, polychrome",landscape,NULL
NZD1.00092CER014,CER,"redware, slip: Werra",1602,1613,Food Processing & Consumption,"Food consumption: plate, dish, bowl",30,40,205,32,inside lead-glaze,"slipware, sgraffito",human figure,NULL
NZD1.00092CER237,CER,redware,1575,1650,Food Processing & Consumption,"Food consumption: plate, dish, bowl",70,85,220,50,inside lead-glaze with slip and copper oxide,NULL,NULL,NULL
NZD1.00095CER077,CER,porcelain: Europe,1899,1958,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,5,130,20,feldspar glaze,NULL,NULL,NULL
NZD1.00095CER088,CER,faience: Holland,1725,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,10,220,40,tin-glaze,blue-white,floral motif,NULL
NZD1.00096CER038,CER,"redware, slip",1400,1500,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,20,380,50,inside lead-glaze,"slipware, arcades",NULL,NULL
NZD1.00097CER016,CER,redware,1475,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",65,40,205,50,lead-glaze and inside slip,NULL,NULL,NULL
NZD1.00097CER027,CER,stoneware: Siegburg,1375,1475,Food Processing & Consumption,Consumption: drinking,35,100,135,45,NULL,NULL,NULL,NULL
NZD1.00098CER076,CER,porcelain: Europe,1980,2005,Food Processing & Consumption,"Food consumption: plate, dish, bowl",25,20,220,25,feldspar glaze,transfer printing,floral motif,NULL
NZD1.00098CER097,CER,industrial ware: white,1825,1875,Food Processing & Consumption,Consumption: drinking,40,40,135,25,lead-glaze,"transfer printing, blue",landscape,NULL
NZD1.00099CER067,CER,faience: Holland,1725,1775,Food Processing & Consumption,"Food consumption: plate, dish, bowl",35,60,110,25,tin-glaze,blue-white,floral motif,NULL
NZD1.00106CER007,CER,faience: Holland,1650,1725,Food Processing & Consumption,"Food consumption: plate, dish, bowl",5,5,220,28,tin-glaze,overall white,NULL,NULL
NZD1.00119CER018,CER,"redware, slip",1450,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,20,240,45,inside lead-glaze,"slipware, arcades",NULL,NULL
NZD1.00120CER001,CER,industrial ware: white,1850,1900,Food Processing & Consumption,"Food consumption: plate, dish, bowl",25,20,195,17,lead-glaze,overall white,NULL,NULL
NZD1.00128CER002,CER,"redware, slip",1450,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",35,25,380,60,inside lead-glaze,"slipware, arcades",NULL,NULL
NZD1.00128CER014,CER,"redware, slip",1400,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,15,380,58,inside lead-glaze,"slipware, arcades",NULL,NULL
NZD1.00148CER002,CER,redware: unglazed,1400,1500,Food Processing & Consumption,Food preparation and consumption: various parts of kitchenware,5,NULL,120,22,NULL,NULL,NULL,NULL
NZD1.00148CER004,CER,redware,1500,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",40,5,150,42,inside lead-glaze,NULL,NULL,NULL
NZD1.00150CER006,CER,redware,1400,1500,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,10,15,280,50,inside lead-glaze,NULL,NULL,NULL
NZD1.00168CER002,CER,porcelain: KhangXi,1700,1725,Food Processing & Consumption,Consumption: drinking,25,50,120,25,"feldspar, painted with blue underglaze",blue-white,NULL,NULL
NZD1.00168CER007,CER,faience: Holland,1650,1725,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,10,280,27,tin-glaze,overall white,NULL,NULL
NZD1.00171CER006,CER,redware,1375,1425,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,15,20,300,38,inside lead-glaze,NULL,NULL,NULL
NZD1.00179CER001,CER,"redware, slip: Werra",1602,1613,Food Processing & Consumption,"Food consumption: plate, dish, bowl",55,65,330,52,inside lead-glaze,"slipware, sgraffito",religious/biblical images,NULL
NZD1.00183CER007,CER,redware,1550,1625,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,15,380,70,inside lead-glaze with slip and copper oxide,NULL,NULL,NULL
NZD1.00183CER023,CER,redware,1500,1550,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,50,15,140,60,inside lead-glaze,NULL,NULL,NULL
NZD1.00183CER026,CER,redware,1400,1500,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,20,15,240,50,inside lead-glaze,NULL,NULL,NULL
NZD1.00183CER029,CER,redware,1500,1575,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,5,210,38,inside lead-glaze,NULL,NULL,NULL
NZD1.00188CER004,CER,porcelain: Europe,1775,1825,Food Processing & Consumption,Consumption: drinking,40,75,125,25,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZD1.00188CER008,CER,porcelain: Europe,1900,1969,Food Processing & Consumption,"Food consumption: plate, dish, bowl",30,70,150,20,feldspar glaze,NULL,NULL,NULL
NZD1.00188CER009,CER,porcelain: Europe,1925,2005,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,75,150,28,feldspar glaze,NULL,NULL,NULL
NZD1.00190CER015,CER,whiteware,1575,1625,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,65,80,260,65,inside lead-glaze,NULL,NULL,NULL
NZD1.00202CER001,CER,redware,1350,1450,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,90,35,160,145,sparse lead-glaze,NULL,NULL,NULL
NZD1.00205CER001,CER,redware,1375,1425,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,65,100,180,175,sparse lead-glaze,NULL,NULL,NULL
NZD1.00206CER008,CER,"redware, slip",1400,1500,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,10,280,42,inside lead-glaze,"slipware, arcades",NULL,NULL
NZD1.00220CER006,CER,stoneware: Raeren,1525,1550,Food Processing & Consumption,Consumption: drinking,100,100,170,240,iron oxide slip and salt-glaze,appliques,NULL,NULL
NZD1.00227CER009,CER,redware,1375,1425,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,25,35,240,35,inside lead-glaze,NULL,NULL,NULL
NZD1.00230CER001,CER,redware,1650,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,25,220,48,lead-glaze with copper oxide inside,NULL,NULL,NULL
NZD1.00231CER001,CER,"redware, slip: Lower Rhine region",1675,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,15,420,50,inside lead-glaze,slipware,NULL,NULL
NZD1.00232CER016,CER,redware,1375,1525,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,15,120,20,inside lead-glaze,NULL,NULL,NULL
NZD1.00241CER001,CER,stoneware: Siegburg,1375,1450,Food Processing & Consumption,Consumption: drinking,35,100,95,263,NULL,NULL,NULL,NULL
NZD1.00255CER006,CER,porcelain: Europe,1960,1969,Food Processing & Consumption,Consumption: drinking,65,100,85,60,feldspar glaze,NULL,NULL,Royal Sphinx
NZD1.00256CER012,CER,stoneware: Siegburg,1375,1475,Food Processing & Consumption,Consumption: drinking,40,40,135,40,NULL,NULL,NULL,NULL
NZD1.00272CER003,CER,"redware, slip",1400,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,25,290,60,inside lead-glaze,"slipware, arcades",NULL,NULL
NZD1.00276CER001,CER,porcelain: Europe,1950,2005,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,10,220,25,feldspar glaze,NULL,NULL,NULL
NZD1.00283CER002,CER,faience: Holland,1650,1700,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,25,220,28,tin-glaze,blue-white,NULL,NULL
NZD1.00283CER006,CER,"redware, slip: sgraffito",1475,1525,Food Processing & Consumption,"Food consumption: plate, dish, bowl",50,75,310,60,lead-glaze and inside slip,sgraffito,animal scenery,NULL
NZD1.00284CER004,CER,stoneware: Raeren,1500,1550,Food Processing & Consumption,Consumption: drinking,100,100,132,250,iron oxide slip and salt-glaze,NULL,NULL,NULL
